18:47:44.867 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - maven
18:47:44.869 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
18:49:11.253 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - application
18:49:11.253 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
19:09:40.483 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - application
19:09:40.483 [ApplicationImpl pooled thread 74] INFO  com.browserstack.utils.Helpers - null
19:13:05.070 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - application
19:13:05.071 [ApplicationImpl pooled thread 80] INFO  com.browserstack.utils.Helpers - null
19:15:22.131 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - application
19:15:22.131 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
19:28:15.405 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - application
19:28:15.405 [ApplicationImpl pooled thread 95] INFO  com.browserstack.utils.Helpers - null
19:29:07.930 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - application
19:29:07.930 [ApplicationImpl pooled thread 95] INFO  com.browserstack.utils.Helpers - null
19:29:35.595 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - application
19:29:35.595 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - null
19:30:42.804 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - application
19:30:42.804 [ApplicationImpl pooled thread 100] INFO  com.browserstack.utils.Helpers - null
19:31:58.535 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - application
19:31:58.535 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - null
19:33:59.221 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - application
19:33:59.221 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - null
19:35:01.449 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - application
19:35:01.450 [ApplicationImpl pooled thread 105] INFO  com.browserstack.utils.Helpers - null
19:38:26.408 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - application
19:38:26.408 [ApplicationImpl pooled thread 120] INFO  com.browserstack.utils.Helpers - null
19:46:27.584 [ApplicationImpl pooled thread 126] INFO  c.b.l.BrowserStackRunExtension - application
19:46:27.585 [ApplicationImpl pooled thread 126] INFO  com.browserstack.utils.Helpers - null
19:48:01.476 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - application
19:48:01.476 [ApplicationImpl pooled thread 127] INFO  com.browserstack.utils.Helpers - null
19:51:37.769 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - application
19:51:37.769 [ApplicationImpl pooled thread 134] INFO  com.browserstack.utils.Helpers - null
19:53:28.847 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - application
19:53:28.847 [ApplicationImpl pooled thread 134] INFO  com.browserstack.utils.Helpers - null
19:53:59.042 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - application
19:53:59.042 [ApplicationImpl pooled thread 138] INFO  com.browserstack.utils.Helpers - null
19:56:37.760 [ApplicationImpl pooled thread 149] INFO  c.b.l.BrowserStackRunExtension - application
19:56:37.760 [ApplicationImpl pooled thread 149] INFO  com.browserstack.utils.Helpers - null
20:24:19.723 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - testng
20:24:19.723 [ApplicationImpl pooled thread 176] INFO  com.browserstack.utils.Helpers - null
20:24:19.724 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:25:34.043 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - testng
20:25:34.043 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - null
20:25:34.044 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
